strike,expiry,moneyness,time_to_expiry,bid,ask,impliedVolatility,openInterest,volume,option_type
4600.0,2026-07-08,0.6130186424481964,-0.0027397260273972603,2850.5,2871.3,1.0000000000000003e-05,4.0,,call
4800.0,2026-07-08,0.6396716269024657,-0.0027397260273972603,2650.5,2671.3,1.0000000000000003e-05,2.0,1.0,call
5200.0,2026-07-08,0.6929775958110046,-0.0027397260273972603,2250.5,2271.3,1.0000000000000003e-05,5.0,,call
5400.0,2026-07-08,0.7196305802652739,-0.0027397260273972603,2081.0,2105.0,2.4111367846679688,0.0,1.0,call
5600.0,2026-07-08,0.7462835647195434,-0.0027397260273972603,1850.5,1870.8,1.0000000000000003e-05,2.0,,call
5900.0,2026-07-08,0.7862630414009475,-0.0027397260273972603,1550.7,1569.3,1.0000000000000003e-05,1.0,1.0,call
6450.0,2026-07-08,0.8595587486501883,-0.0027397260273972603,1000.6,1021.3,1.0000000000000003e-05,71.0,,call
6500.0,2026-07-08,0.8662219947637557,-0.0027397260273972603,950.6,971.3,1.0000000000000003e-05,201.0,6.0,call
6600.0,2026-07-08,0.8795484869908904,-0.0027397260273972603,850.6,870.5,1.0000000000000003e-05,1.0,,call
6750.0,2026-07-08,0.8995382253315924,-0.0027397260273972603,708.7,711.0,1.0000000000000003e-05,1.0,,call
6875.0,2026-07-08,0.9161963406155108,-0.0027397260273972603,585.0,587.2,1.0000000000000003e-05,4.0,4.0,call
6900.0,2026-07-08,0.9195279636722945,-0.0027397260273972603,560.0,562.2,1.0000000000000003e-05,9.0,6.0,call
6920.0,2026-07-08,0.9221932621177215,-0.0027397260273972603,539.1,541.0,1.0000000000000003e-05,4.0,4.0,call
6950.0,2026-07-08,0.9261912097858619,-0.0027397260273972603,510.3,512.3,1.0000000000000003e-05,14.0,14.0,call
7000.0,2026-07-08,0.9328544558994293,-0.0027397260273972603,459.0,460.9,1.0000000000000003e-05,29.0,8.0,call
7010.0,2026-07-08,0.9341871051221426,-0.0027397260273972603,449.3,451.2,1.0000000000000003e-05,1.0,,call
7025.0,2026-07-08,0.9361860789562129,-0.0027397260273972603,434.3,436.2,1.0000000000000003e-05,1.0,1.0,call
7040.0,2026-07-08,0.9381850527902831,-0.0027397260273972603,420.4,422.2,1.0000000000000003e-05,2.0,,call
7050.0,2026-07-08,0.9395177020129966,-0.0027397260273972603,410.4,412.2,1.0000000000000003e-05,21.0,5.0,call
7060.0,2026-07-08,0.94085035123571,-0.0027397260273972603,398.7,400.9,1.0000000000000003e-05,15.0,15.0,call
7070.0,2026-07-08,0.9421830004584235,-0.0027397260273972603,390.4,392.2,1.0000000000000003e-05,15.0,,call
7075.0,2026-07-08,0.9428493250697803,-0.0027397260273972603,385.4,387.2,1.0000000000000003e-05,5.0,5.0,call
7080.0,2026-07-08,0.943515649681137,-0.0027397260273972603,380.4,382.2,1.0000000000000003e-05,15.0,15.0,call
7100.0,2026-07-08,0.946180948126564,-0.0027397260273972603,360.4,362.2,1.0000000000000003e-05,26.0,13.0,call
7105.0,2026-07-08,0.9468472727379207,-0.0027397260273972603,355.4,357.2,1.0000000000000003e-05,18.0,18.0,call
7110.0,2026-07-08,0.9475135973492774,-0.0027397260273972603,348.7,350.9,1.0000000000000003e-05,2.0,1.0,call
7120.0,2026-07-08,0.9488462465719909,-0.0027397260273972603,338.7,340.8,1.0000000000000003e-05,31.0,1.0,call
7125.0,2026-07-08,0.9495125711833476,-0.0027397260273972603,334.4,336.3,1.0000000000000003e-05,1.0,1.0,call
